id_jogador,epoca,dias_parado_max,carga_lesao_historica,num_lesoes,posicao,nacionalidade,idade_atual,risco_lesao,dias_descanso_media,jogos_fase_grupos,altitude_media,idade_x_jogos,idade_x_altitude,descanso_relativo,risco_biomecanico
1,19/20,40,53,2,Central Midfield,England,33.0,1,,,,,,,5.0
1,20/21,29,65,4,Central Midfield,England,34.25,1,,,,,,,5.0
1,21/22,30,55,2,Central Midfield,England,35.0,1,,,,,,,5.0
1,22/23,24,35,2,Central Midfield,England,36.0,1,,,,,,,5.0
1,23/24,134,160,2,Central Midfield,England,37.0,1,,,,,,,5.0
2,16/17,12,12,1,Attacking Midfield,Germany,24.0,0,,,,,,,3.0
2,17/18,64,89,2,Attacking Midfield,Germany,24.0,1,,,,,,,3.0
2,18/19,25,33,2,Attacking Midfield,Germany,26.0,1,,,,,,,3.0
2,19/20,64,64,1,Attacking Midfield,Germany,26.0,1,,,,,,,3.0
2,20/21,40,72,4,Attacking Midfield,Germany,27.75,1,,,,,,,3.0
2,21/22,39,65,2,Attacking Midfield,Germany,28.5,1,,,,,,,3.0
2,22/23,15,19,2,Attacking Midfield,Germany,29.5,1,,,,,,,3.0
3,12/13,22,37,2,Goalkeeper,Spain,29.0,1,,,,,,,1.0
3,13/14,18,18,1,Goalkeeper,Spain,30.0,1,,,,,,,1.0
3,15/16,5,5,1,Goalkeeper,Spain,33.0,0,,,,,,,1.0
3,17/18,8,8,1,Goalkeeper,Spain,34.0,0,,,,,,,1.0
3,18/19,32,32,1,Goalkeeper,Spain,36.0,1,,,,,,,1.0
3,19/20,41,41,1,Goalkeeper,Spain,36.0,1,,,,,,,1.0
4,13/14,17,17,1,Centre-Back,"Netherlands,England",23.0,1,,,,,,,3.0
4,14/15,52,67,2,Centre-Back,"Netherlands,England",24.0,1,,,,,,,3.0
4,17/18,90,90,1,Centre-Back,"Netherlands,England",27.0,1,,,,,,,3.0
4,19/20,56,56,1,Centre-Back,"Netherlands,England",29.0,1,,,,,,,3.0
4,20/21,68,99,4,Centre-Back,"Netherlands,England",30.0,1,,,,,,,3.0
5,16/17,32,32,1,Goalkeeper,Italy,22.0,1,,,,,,,1.0
5,17/18,22,31,2,Goalkeeper,Italy,22.0,1,,,,,,,1.0
5,19/20,158,158,1,Goalkeeper,Italy,24.0,1,,,,,,,1.0
5,20/21,25,29,2,Goalkeeper,Italy,26.0,1,,,,,,,1.0
5,21/22,17,33,3,Goalkeeper,Italy,26.666666666666668,1,,,,,,,1.0
6,11/12,43,43,1,Left-Back,"England,Jamaica",26.0,1,,,,,,,4.0
6,12/13,134,206,3,Left-Back,"England,Jamaica",26.333333333333332,1,,,,,,,4.0
6,14/15,40,73,2,Left-Back,"England,Jamaica",29.0,1,,,,,,,4.0
6,15/16,57,57,1,Left-Back,"England,Jamaica",29.0,1,,,,,,,4.0
6,16/17,109,120,2,Left-Back,"England,Jamaica",31.0,1,,,,,,,4.0
6,18/19,6,9,2,Left-Back,"England,Jamaica",32.0,0,,,,,,,4.0
6,20/21,14,14,1,Left-Back,"England,Jamaica",35.0,0,,,,,,,4.0
6,23/24,46,46,1,Left-Back,"England,Jamaica",37.0,1,,,,,,,4.0
7,12/13,17,26,2,Goalkeeper,England,27.0,1,,,,,,,1.0
7,20/21,68,68,1,Goalkeeper,England,35.0,1,,,,,,,1.0
8,10/11,34,34,1,Centre-Back,Spain,24.0,1,,,,,,,3.0
8,11/12,24,24,1,Centre-Back,Spain,25.0,1,,,,,,,3.0
8,13/14,26,35,2,Centre-Back,Spain,27.5,1,,,,,,,3.0
8,16/17,40,43,2,Centre-Back,Spain,30.0,1,,,,,,,3.0
8,17/18,6,6,1,Centre-Back,Spain,31.0,0,,,,,,,3.0
8,18/19,79,86,2,Centre-Back,Spain,32.5,1,,,,,,,3.0
8,23/24,36,36,1,Centre-Back,Spain,38.0,1,,,,,,,3.0
9,08/09,63,63,1,Centre-Back,Brazil,25.0,1,,,,,,,3.0
9,10/11,66,132,3,Centre-Back,Brazil,26.333333333333332,1,,,,,,,3.0
9,13/14,13,13,1,Centre-Back,Brazil,29.0,0,,,,,,,3.0
9,16/17,13,13,1,Centre-Back,Brazil,32.0,0,,,,,,,3.0
9,19/20,28,28,1,Centre-Back,Brazil,35.0,1,,,,,,,3.0
9,20/21,211,365,2,Centre-Back,Brazil,36.0,1,,,,,,,3.0
9,23/24,17,17,1,Centre-Back,Brazil,40.0,1,,,,,,,3.0
10,14/15,22,22,1,Defensive Midfield,"Brazil,Spain",22.0,1,,,,,,,4.0
10,15/16,7,12,2,Defensive Midfield,"Brazil,Spain",24.0,0,,,,,,,4.0
10,16/17,68,68,1,Defensive Midfield,"Brazil,Spain",24.0,1,,,,,,,4.0
10,17/18,3,3,1,Defensive Midfield,"Brazil,Spain",25.0,0,,,,,,,4.0
10,18/19,36,36,1,Defensive Midfield,"Brazil,Spain",26.0,1,,,,,,,4.0
10,20/21,16,16,1,Defensive Midfield,"Brazil,Spain",28.0,1,,,,,,,4.0
10,21/22,13,27,3,Defensive Midfield,"Brazil,Spain",29.333333333333332,0,,,,,,,4.0
10,23/24,84,84,1,Defensive Midfield,"Brazil,Spain",31.0,1,,,,,,,4.0
11,18/19,36,63,3,Goalkeeper,Germany,32.0,1,,,,,,,1.0
11,21/22,33,56,4,Goalkeeper,Germany,35.0,1,,,,,,,1.0
