Jogador,Posição,Nacionalidade
Alexander Nubel,Goleiro,Alemanha
Manuel Neuer,Goleiro,Alemanha
Oliver Baumann,Goleiro,Alemanha
Aleksandar Pavlovic,Defensor,Alemanha
Angelo Stiller,Defensor,Alemanha
Antonio Rudiger,Defensor,Alemanha
David Raum,Defensor,Alemanha
Felix Nmecha,Defensor,Alemanha
Jonathan Tah,Defensor,Alemanha
Joshua Kimmich,Defensor,Alemanha
Malick Thiaw,Defensor,Alemanha
Nathaniel Brown,Defensor,Alemanha
Nico Schlotterbeck,Defensor,Alemanha
Pascal Grob,Defensor,Alemanha
Waldemar Anton,Defensor,Alemanha
Deniz Undav,Meio-campista/Atacante,Alemanha
Florian Wirtz,Meio-campista/Atacante,Alemanha
Jamal Musiala,Meio-campista/Atacante,Alemanha
Jamie Leweling,Meio-campista/Atacante,Alemanha
Kai Havertz,Meio-campista/Atacante,Alemanha
Lennart Karl,Meio-campista/Atacante,Alemanha
Leon Goretzka,Meio-campista/Atacante,Alemanha
Leroy Sané,Meio-campista/Atacante,Alemanha
Maximilian Beier,Meio-campista/Atacante,Alemanha
Nadiem Amiri,Meio-campista/Atacante,Alemanha
Nick Woltemade,Meio-campista/Atacante,Alemanha
Emiliano Martínez,Goleiro,Argentina
Facundo Cambeses,Goleiro,Argentina
Gerónimo Rulli,Goleiro,Argentina
Juan Musso,Goleiro,Argentina
Santiago Beltran,Goleiro,Argentina
Walter Benítez,Goleiro,Argentina
Agustín Giay,Defensor,Argentina
Cristian Romero,Defensor,Argentina
Facundo Medina,Defensor,Argentina
Gabriel Rojas,Defensor,Argentina
Germán Pezzella,Defensor,Argentina
Gonzalo Montiel,Defensor,Argentina
Kevin Mac Allister,Defensor,Argentina
Lautaro di Lollo,Defensor,Argentina
Leonardo Balerdi,Defensor,Argentina
Lisandro Martínez,Defensor,Argentina
Lucas Martinez Quarta,Defensor,Argentina
Marcos Acuña,Defensor,Argentina
Marcos Senesi,Defensor,Argentina
Nahuel Molina,Defensor,Argentina
Nicolás Capaldo,Defensor,Argentina
Nicolás Otamendi,Defensor,Argentina
Nicolás Tagliafico,Defensor,Argentina
Zaid Romero,Defensor,Argentina
Alan Varela,Meio-campista,Argentina
Alejandro Garnacho,Meio-campista,Argentina
Alexis Mac Allister,Meio-campista,Argentina
Aníbal Moreno,Meio-campista,Argentina
Claudio Echeverri,Meio-campista,Argentina
Emiliano Buendia,Meio-campista,Argentina
Enzo Fernández,Meio-campista,Argentina
Exequiel Palacios,Meio-campista,Argentina
Ezequiel Fernández,Meio-campista,Argentina
Franco Mastantuono,Meio-campista,Argentina
Gianluca Prestianni,Meio-campista,Argentina
Giovani Lo Celso,Meio-campista,Argentina
Giuliano Simeone,Meio-campista,Argentina
Guido Rodríguez,Meio-campista,Argentina
Leandro Paredes,Meio-campista,Argentina
Lionel Messi,Meio-campista,Argentina
Matías Soulé,Meio-campista,Argentina
Milton Delgado,Meio-campista,Argentina
Máximo Perrone,Meio-campista,Argentina
Nicolás Domínguez,Meio-campista,Argentina
Nicolás González,Meio-campista,Argentina
Nicolás Paz,Meio-campista,Argentina
Rodrigo de Paul,Meio-campista,Argentina
Thiago Almada,Meio-campista,Argentina
Tomás Aranda,Meio-campista,Argentina
Valentín Barco,Meio-campista,Argentina
José Manuel López,Atacante,Argentina
Julián Álvarez,Atacante,Argentina
Lautaro Martínez,Atacante,Argentina
Mateo Pellegrino,Atacante,Argentina
Santiago Castro,Atacante,Argentina
Alisson,Goleiro,Brasil
Ederson,Goleiro,Brasil
Weverton,Goleiro,Brasil
Alex Sandro,Defensor,Brasil
