Grupo,Seleção,Jogos na Qualificação (Pela Seleção)*,Jogos na Principal Liga Local (Clubes)
Grupo A,México,0 (Anfitrião),34 (Apertura + Clausura)
,África do Sul,10,30
,Coreia do Sul,16,38
,Chéquia,6 a 8,35
Grupo B,Canadá,0 (Anfitrião),34 (Formato MLS)
,Bósnia e Herzegovina,6 a 8,33
,Qatar,16,22
,Suíça,6 a 8,38
Grupo C,Brasil,18,38
,Marrocos,10,30
,Haiti,10,~20
,Escócia,6 a 8,38
Grupo D,Estados Unidos,0 (Anfitrião),34 (Formato MLS)
,Paraguai,18,44 (Apertura + Clausura)
,Austrália,16,26
,Turquia,6 a 8,38
Grupo E,Alemanha,6 a 8,34
,Curaçau,10 a 12,18
,Costa do Marfim,10,30
,Equador,18,30
Grupo F,Países Baixos,6 a 8,34
,Japão,16,38
,Suécia,6 a 8,30
,Tunísia,10,24
Grupo G,Bélgica,6 a 8,30 a 40 (com Playoffs)
,Egito,10,34
,Irão,16,30
,Nova Zelândia,5,9 (+ Playoffs locais)
Grupo H,Espanha,6 a 8,38
,Cabo Verde,10,~10 (Fase Curta)
,Arábia Saudita,16,34
,Uruguai,18,37
Grupo I,França,6 a 8,34
,Senegal,10,26
,Iraque,16,38
,Noruega,6 a 8,30
Grupo J,Argentina,18,41 (Liga + Copa da Liga)
,Argélia,10,30
,Áustria,6 a 8,32
,Jordânia,16,22
Grupo K,Portugal,6 a 8,34
,RD Congo,10,~20
,Uzbequistão,16,26
,Colômbia,18,40 a 50 (com formato Apertura/Clausura)
Grupo L,Inglaterra,6 a 8,38
,Croácia,6 a 8,36
,Gana,10,34
,Panamá,10,32
